angular_continuity,annular_relief_normalized,best_radius_ratio,candidate_id,centre_match,centre_shift_ratio,data_quality,diameter_km,followup_score,geology_boundary_coincidence,geology_boundary_crossings,geology_independence,geology_nearby_boundaries,geology_nearby_types,geometry_angular_coverage,geometry_relative_radial_mad,hough_percentile,lat,lon,name,native_diameter_pixels,radial_alignment,radius_km,radius_match,rank,relief_score,sample_cols,sample_rows,source_index,source_stride_x,source_stride_y,terrain_iqr_m,topography_score,topography_score_unweighted
0.9722222222222222,0.6661538840477318,1.0000000000000002,arc_0373,0.6003730411984044,0.1,1.0,67.19707919027252,0.8986210197324861,0.0,0,1.0,0,,1.0,0.004416061418806874,1.0,59.22698400843728,-10.048177259562918,#362,202.76572903687446,0.706148011133361,33.59853959513626,1.0,1,0.5824442209517038,248,253,373,2,1,195.76031494140625,0.8700269483749822,0.8700269483749822
0.8472222222222222,0.5647508662380185,0.9800000000000001,arc_0306,1.0,0.0,1.0,28.606728758853023,0.8650939259654475,0.0,0,1.0,0,,1.0,0.0072712190077009135,1.0,18.77283818191428,8.712642616555234,#308,63.45477382646024,0.21303839061152902,14.303364379426512,0.9844964370054086,2,0.5114938677335626,114,109,306,1,1,80.65911865234375,0.8270434948274968,0.8270434948274968
0.7916666666666666,0.5268525395746402,1.0200000000000002,arc_0992,0.6003730411984044,0.1,1.0,20.000993445503205,0.8500600935980319,0.0,0,1.0,0,,1.0,0.007132918333712114,1.0,-46.3173611354684,-69.45542188846204,#991,51.94503493146511,0.5591494701389614,10.000496722751603,0.984496437005408,3,0.4829714822546671,109,76,992,1,1,43.61470031738281,0.8077693507667076,0.8077693507667076
0.7916666666666666,0.6326782941147938,0.9600000000000001,arc_0593,1.0,0.0,1.0,77.66204841078967,0.8382882342718209,0.0,0,1.0,0,,1.0,0.00906197323761352,1.0,64.93493001950446,-163.21620793710272,#579,257.5326546873054,0.022250228153435848,38.83102420539483,0.939413062813476,4,0.5598936725311245,346,293,593,2,1,144.6664981842041,0.7926772234254114,0.7926772234254114
0.625,0.3465387109250128,0.9800000000000001,arc_1007,1.0,0.0,1.0,27.3726670710539,0.8184804777121826,0.0,0,1.0,0,,1.0,0.007676612727646329,1.0,-43.04437465520966,-69.45287807102301,#1006,69.10922167646294,0.19685774702191747,13.68633353552695,0.9844964370054086,5,0.3333023291018013,141,103,1007,1,1,191.98062133789062,0.7672826637335673,0.7672826637335673
1.0,2.512875849530399,0.72,arc_0370,0.6003730411984044,0.1,1.0,60.21127188585729,0.8159324600059702,0.0,0,1.0,0,,1.0,0.004705542846945999,0.85,57.431545892668886,-11.11993802470171,#299,177.12852686028398,0.8310673673015104,30.105635942928647,0.04677062238395894,6,0.986952382128845,211,227,370,2,1,174.46844482421875,0.7640159743666285,0.7640159743666285
0.9166666666666666,2.0953994867766688,0.78,arc_0371,0.6003730411984044,0.1,1.0,39.896920401375986,0.8152731983636461,0.0,0,1.0,0,,1.0,0.008510464602400151,0.9666666666666667,56.471477129112166,-10.30120936034813,#359,115.86627958041282,0.6275350732927145,19.948460200687993,0.1509774184559147,7,0.9701828814345071,273,151,371,1,1,98.9932861328125,0.7631707671328797,0.7631707671328797
0.7361111111111112,0.7050249804369535,1.0400000000000003,arc_0341,0.6003730411984044,0.1,1.0,17.396452299274493,0.8148767815230662,0.0,0,1.0,0,,1.0,0.006642873324629282,1.0,57.22292188800545,-2.7460741490983502,#327,51.03152064350449,0.21537651621078546,8.698226149637247,0.939413062813475,8,0.6075476473119824,122,65,341,1,1,85.64670181274414,0.7626625404141875,0.7626625404141875
0.7083333333333334,0.68806223270904,1.0200000000000002,arc_0424,0.6003730411984044,0.1,1.0,31.657926120364156,0.813895716131641,0.0,0,1.0,0,,1.0,0.0077163960568325425,1.0,39.1200244502714,10.943592249950786,#418,77.5757497088574,0.20297439935666337,15.828963060182078,0.984496437005408,9,0.5967357022396936,155,120,424,1,1,84.431396484375,0.7614047642713346,0.7614047642713346
0.5833333333333334,0.3008394564917725,1.0000000000000002,arc_1250,1.0,0.0,1.0,126.08653508741278,0.8128949630394765,0.0,0,1.0,2,oceanic back-arc basin;ophiolite complex,1.0,0.0031001678135893318,1.0,17.367701628386968,-80.14544009079209,#1247,278.5654004054823,0.21594736062306746,63.04326754370639,1.0,10,0.29208064211740126,250,238,1250,2,2,358.87005615234375,0.7601217474865083,0.7601217474865083
